what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553376552
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553474746
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1291553477883
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1291553477911
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1291553477929
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1291553477963
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291553478274
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291553478596
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291553478730
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1291553478999
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291553484820
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1291553485180
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1291553485296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553501140
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553547266
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553548054
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553575909
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291553592779
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291553593127
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291553593153
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1291553594285
error,log,,,"Exception in Decorator. The 'Java Method Override Indicator' decorator will be disabled.",1291553594287
error,log,,,"java.lang.AbstractMethodError",1291553594288
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291553596498
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553630939
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553746650
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553752677
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553767620
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553771147
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291553792921
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291553812857
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291553813148
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291553813469
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291553813501
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291553816340
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291553825775
